cr_id,gender,age,race
1002929,FEMALE,22.0,BLACK
1002933,MALE,26.0,BLACK
1002951,MALE,25.0,BLACK
1002952,MALE,35.0,BLACK
1002967,MALE,31.0,BLACK
1002969,MALE,25.0,BLACK
1002976,FEMALE,27.0,BLACK
1002992,MALE,26.0,BLACK
1002993,FEMALE,23.0,BLACK
1003016,MALE,,BLACK
1003025,MALE,59.0,BLACK
1003032,MALE,41.0,BLACK
1003033,MALE,34.0,
1003040,MALE,,WHITE
1003040,MALE,,WHITE
1003046,MALE,94.0,BLACK
1003051,MALE,,HISPANIC
1003054,MALE,35.0,BLACK
1003060,MALE,25.0,BLACK
1003066,MALE,43.0,BLACK
1003071,FEMALE,37.0,WHITE
1003073,MALE,,HISPANIC
1003073,FEMALE,,HISPANIC
1003077,FEMALE,103.0,WHITE
1003093,MALE,25.0,BLACK
1003102,MALE,39.0,HISPANIC
1003102,FEMALE,,HISPANIC
1003106,FEMALE,49.0,BLACK
1003107,MALE,38.0,BLACK
1003125,MALE,,BLACK
1003135,MALE,26.0,BLACK
1003136,FEMALE,31.0,BLACK
1003146,FEMALE,41.0,BLACK
1003156,FEMALE,,BLACK
1003160,MALE,25.0,BLACK
1003162,FEMALE,,WHITE
1003165,FEMALE,,
1003166,FEMALE,,ASIAN/PACIFIC ISLANDER
1003168,MALE,,BLACK
1003168,FEMALE,49.0,BLACK
1003169,MALE,47.0,WHITE
1003170,FEMALE,46.0,BLACK
1003171,MALE,40.0,BLACK
1003178,FEMALE,27.0,BLACK
1003185,MALE,30.0,BLACK
1003188,MALE,21.0,BLACK
1003193,MALE,,BLACK
1003193,MALE,,BLACK
1003207,MALE,22.0,BLACK
1003212,,,
1003225,MALE,71.0,WHITE
1003227,MALE,25.0,BLACK
1003227,MALE,24.0,BLACK
1003229,FEMALE,,WHITE
1003230,FEMALE,25.0,HISPANIC
1003233,MALE,27.0,BLACK
1003235,FEMALE,28.0,BLACK
1003235,FEMALE,28.0,BLACK
1003242,MALE,42.0,
1003245,FEMALE,,BLACK
1003246,MALE,,HISPANIC
1003246,MALE,,WHITE
1003251,MALE,61.0,BLACK
1003253,MALE,40.0,BLACK
1003259,MALE,,BLACK
1003278,FEMALE,77.0,WHITE
1003291,MALE,26.0,BLACK
1003301,FEMALE,24.0,BLACK
1003309,MALE,,HISPANIC
1003312,MALE,30.0,HISPANIC
1003312,MALE,35.0,HISPANIC
1003315,MALE,,
1003316,MALE,49.0,BLACK
1003317,FEMALE,,BLACK
1003317,MALE,50.0,BLACK
1003320,FEMALE,25.0,BLACK
1003323,MALE,24.0,BLACK
1003325,MALE,,BLACK
1003325,MALE,23.0,BLACK
1003325,MALE,24.0,BLACK
1003331,MALE,,WHITE
1003346,MALE,25.0,BLACK
1003363,FEMALE,,WHITE
1003368,MALE,,BLACK
1003370,MALE,36.0,WHITE
1003373,MALE,25.0,HISPANIC
1003374,MALE,31.0,BLACK
1003379,MALE,36.0,BLACK
1003391,MALE,49.0,BLACK
1003392,MALE,27.0,BLACK
1003406,FEMALE,49.0,WHITE
1003418,FEMALE,,BLACK
1003434,MALE,,BLACK
1003439,MALE,43.0,HISPANIC
1003445,MALE,41.0,BLACK
1003447,MALE,,BLACK
1003452,MALE,35.0,BLACK
1003470,MALE,26.0,BLACK
1003472,MALE,41.0,BLACK
1003472,FEMALE,,BLACK
1003478,MALE,51.0,BLACK
1003479,MALE,26.0,BLACK
1003488,FEMALE,24.0,BLACK
1003489,FEMALE,35.0,WHITE
1003490,FEMALE,26.0,BLACK
1003494,FEMALE,,BLACK
1003497,MALE,24.0,BLACK
1003507,FEMALE,24.0,BLACK
1003530,FEMALE,23.0,WHITE
1003531,FEMALE,22.0,BLACK
1003542,MALE,,BLACK
1003542,MALE,25.0,BLACK
1003542,MALE,25.0,BLACK
1003543,FEMALE,22.0,BLACK
1003544,MALE,37.0,BLACK
1003566,MALE,,WHITE
1003571,MALE,,HISPANIC
1003585,MALE,33.0,BLACK
1003587,MALE,,
1003595,MALE,23.0,BLACK
1003595,MALE,71.0,BLACK
1003595,MALE,23.0,BLACK
1003605,MALE,23.0,BLACK
1003618,MALE,59.0,WHITE
1003619,MALE,,BLACK
1003619,MALE,44.0,BLACK
1003627,MALE,25.0,HISPANIC
1003627,FEMALE,26.0,HISPANIC
1003631,FEMALE,26.0,BLACK
1003641,FEMALE,26.0,HISPANIC
1003642,MALE,43.0,BLACK
1003646,FEMALE,52.0,BLACK
1003647,MALE,25.0,BLACK
1003648,FEMALE,,BLACK
1003651,MALE,34.0,BLACK
1003652,MALE,35.0,HISPANIC
1003654,FEMALE,55.0,BLACK
1003655,MALE,38.0,BLACK
1003658,MALE,22.0,BLACK
1003659,MALE,50.0,BLACK
1003672,MALE,24.0,BLACK
1003675,FEMALE,20.0,BLACK
1003681,FEMALE,,HISPANIC
1003681,FEMALE,,HISPANIC
1003685,FEMALE,,BLACK
1003688,FEMALE,,WHITE
1003691,MALE,57.0,BLACK
1003701,MALE,38.0,BLACK
1003713,MALE,34.0,BLACK
1003717,FEMALE,,BLACK
1003730,MALE,27.0,BLACK
1003734,MALE,56.0,HISPANIC
1003735,MALE,26.0,BLACK
1003741,FEMALE,,WHITE
1003749,MALE,22.0,BLACK
1003756,MALE,,WHITE
1003758,FEMALE,,BLACK
1003760,MALE,48.0,BLACK
1003772,FEMALE,53.0,BLACK
1003776,MALE,28.0,HISPANIC
1003781,MALE,25.0,HISPANIC
1003782,MALE,25.0,BLACK
1003797,MALE,22.0,BLACK
1003799,MALE,38.0,BLACK
1003800,MALE,43.0,BLACK
1003814,MALE,33.0,BLACK
1003821,MALE,26.0,HISPANIC
1003822,FEMALE,,BLACK
1003822,FEMALE,37.0,BLACK
1003826,FEMALE,,BLACK
1003829,MALE,27.0,WHITE
1003833,MALE,34.0,WHITE
1003837,MALE,43.0,HISPANIC
1003842,MALE,23.0,BLACK
1003849,MALE,,WHITE
1003860,MALE,35.0,WHITE
1003876,MALE,35.0,BLACK
1003877,MALE,42.0,BLACK
1003880,MALE,35.0,BLACK
1003889,MALE,73.0,WHITE
1003898,MALE,59.0,BLACK
1003906,MALE,26.0,BLACK
1003913,MALE,,BLACK
1003916,MALE,26.0,BLACK
1003935,FEMALE,24.0,BLACK
1003948,FEMALE,26.0,BLACK
1003948,FEMALE,27.0,BLACK
1003950,MALE,42.0,BLACK
1003963,FEMALE,60.0,BLACK
1003963,MALE,18.0,BLACK
1003965,FEMALE,33.0,BLACK
1003968,MALE,46.0,BLACK
1003968,MALE,60.0,HISPANIC
1003968,FEMALE,53.0,BLACK
1003979,MALE,26.0,BLACK
1003980,MALE,25.0,BLACK
1003981,MALE,49.0,BLACK
1003987,MALE,28.0,BLACK
1003992,MALE,31.0,WHITE
1003992,FEMALE,28.0,WHITE
1004002,MALE,22.0,BLACK
1004013,MALE,47.0,BLACK
1004018,MALE,53.0,BLACK
1004019,MALE,27.0,BLACK
1004024,MALE,,BLACK
1004024,MALE,,HISPANIC
1004032,MALE,,BLACK
1004036,MALE,24.0,HISPANIC
1004053,FEMALE,38.0,WHITE
1004058,MALE,24.0,HISPANIC
1004059,MALE,16.0,HISPANIC
1004060,MALE,29.0,BLACK
