subject_ID,list_of_trr_id,gender,race,age,pb,subcats,age_band
186.0,"517,519,",MALE,BLACK,21.0,0.0,"4.2, 3.3",20-29
187.0,"520,524,",MALE,HISPANIC,33.0,0.0,4.2,30-39
188.0,"523,525,",MALE,HISPANIC,19.0,0.0,4.1,<20
189.0,"526,529,",FEMALE,BLACK,51.0,0.0,"4.2, 3.3",50-59
190.0,"527,",MALE,BLACK,28.0,0.0,"4.2, 3.3",20-29
191.0,"528,530,",MALE,BLACK,39.0,0.0,"4.2, 3.3",30-39
192.0,"531,",FEMALE,BLACK,36.0,0.0,"4.2, 3.3",30-39
193.0,"535,536,539,540,541,543,544,",MALE,BLACK,26.0,1.0,"4.2, 3.3, 5.1",20-29
194.0,"542,",MALE,BLACK,23.0,0.0,"4.2, 3.3",20-29
195.0,"545,",MALE,BLACK,37.0,0.0,4.2,30-39
196.0,"547,",MALE,BLACK,20.0,0.0,"4.2, 3.3",20-29
197.0,"549,",MALE,HISPANIC,18.0,0.0,"4.2, 5.1",<20
198.0,"551,",MALE,HISPANIC,22.0,0.0,"4.2, 3.3",20-29
199.0,"553,",MALE,BLACK,27.0,1.0,"4.2, 4.1, 3.3",20-29
200.0,"554,",MALE,BLACK,27.0,0.0,"2.0, 5.1",20-29
201.0,"555,556,",MALE,BLACK,26.0,0.0,"4.2, 3.3",20-29
202.0,"558,",MALE,HISPANIC,24.0,0.0,"4.2, 3.3, 5.1",20-29
203.0,"563,564,",FEMALE,BLACK,18.0,0.0,4.1,<20
204.0,"565,",MALE,BLACK,27.0,0.0,"2.0, 4.2",20-29
205.0,"566,",FEMALE,BLACK,32.0,1.0,4.2,30-39
206.0,"567,568,",MALE,WHITE,26.0,0.0,3.3,20-29
207.0,"569,570,",FEMALE,BLACK,28.0,0.0,"4.2, 3.3",20-29
208.0,"576,",MALE,HISPANIC,29.0,0.0,"4.2, 5.1",20-29
209.0,"580,581,",FEMALE,BLACK,41.0,0.0,"4.2, 3.3",40-49
210.0,"582,",FEMALE,BLACK,33.0,0.0,4.2,30-39
35634.0,"583,",MALE,HISPANIC,30.0,1.0,"3.1, 4.2, 3.3",30-39
35635.0,"584,",MALE,HISPANIC,26.0,0.0,3.3,20-29
35636.0,"586,587,",MALE,BLACK,21.0,1.0,"4.2, 3.3",20-29
211.0,"588,",MALE,WHITE,41.0,0.0,"4.2, 3.3",40-49
212.0,"589,590,591,",MALE,BLACK,23.0,1.0,4.2,20-29
213.0,"592,",FEMALE,BLACK,18.0,0.0,2.0,<20
214.0,"593,594,595,",MALE,BLACK,21.0,0.0,"4.2, 3.3",20-29
35638.0,"596,",FEMALE,HISPANIC,22.0,0.0,"4.2, 3.3",20-29
215.0,"599,600,",MALE,BLACK,31.0,0.0,"4.2, 3.3",30-39
216.0,"601,",MALE,BLACK,19.0,0.0,"4.2, 3.3",<20
217.0,"602,603,",MALE,BLACK,35.0,1.0,"4.2, 4.1, 3.3",30-39
218.0,"604,",MALE,BLACK,22.0,0.0,3.3,20-29
219.0,"605,606,",MALE,BLACK,38.0,0.0,4.2,30-39
220.0,"608,",MALE,BLACK,42.0,0.0,2.0,40-49
35641.0,"609,",MALE,BLACK,23.0,1.0,"4.2, 3.3, 5.3, 5.1",20-29
35642.0,"610,611,",MALE,BLACK,25.0,0.0,"4.2, 3.3",20-29
221.0,"612,614,",MALE,BLACK,27.0,0.0,2.0,20-29
222.0,"613,",FEMALE,HISPANIC,47.0,0.0,2.0,40-49
223.0,"615,",MALE,BLACK,28.0,0.0,2.0,20-29
35643.0,"617,",FEMALE,BLACK,54.0,0.0,,50-59
224.0,"618,",MALE,HISPANIC,28.0,0.0,3.3,20-29
225.0,"619,621,",MALE,BLACK,24.0,0.0,"4.2, 3.3",20-29
35644.0,"620,",FEMALE,BLACK,45.0,0.0,"4.2, 3.3",40-49
226.0,"622,",MALE,BLACK,18.0,0.0,"4.2, 3.3",<20
227.0,"623,",MALE,BLACK,24.0,0.0,"4.2, 3.3, 5.1",20-29
228.0,"626,627,",MALE,BLACK,26.0,0.0,"2.0, 3.3",20-29
229.0,"628,",MALE,BLACK,22.0,1.0,"2.0, 4.2",20-29
230.0,"629,",MALE,WHITE,29.0,0.0,"4.2, 3.3, 5.1",20-29
231.0,"630,631,632,633,",MALE,BLACK,23.0,0.0,"4.2, 3.3",20-29
35645.0,"634,636,",FEMALE,BLACK,37.0,0.0,"4.2, 3.3",30-39
35646.0,"635,",FEMALE,BLACK,22.0,0.0,"4.2, 3.3",20-29
232.0,"637,639,",MALE,WHITE,41.0,0.0,,40-49
233.0,"638,",MALE,BLACK,23.0,1.0,4.1,20-29
